event_id,application_id,event_type,from_status,to_status,actor_type,actor_id,occurred_at,recorded_at,detail
1,19,CREATED,,DRAFT,APPLICANT,portal,2026-01-08 14:35:00.704291-05:00,2026-01-08 14:35:00.763291-05:00,
2,704,CREATED,,DRAFT,APPLICANT,portal,2026-01-12 04:04:39.431904-05:00,2026-01-12 04:04:39.475904-05:00,
3,250,CREATED,,DRAFT,APPLICANT,portal,2026-01-14 00:11:55.890770-05:00,2026-01-14 00:11:56.180770-05:00,
4,367,CREATED,,DRAFT,APPLICANT,portal,2026-01-14 07:32:07.037429-05:00,2026-01-14 07:32:07.444429-05:00,
5,24,CREATED,,DRAFT,APPLICANT,portal,2026-01-17 08:38:51.838382-05:00,2026-01-17 08:38:51.902382-05:00,
6,57,CREATED,,DRAFT,APPLICANT,portal,2026-01-18 04:59:12.145102-05:00,2026-01-18 04:59:12.242102-05:00,
7,1188,CREATED,,DRAFT,APPLICANT,portal,2026-01-20 03:28:55.695431-05:00,2026-01-20 03:28:56.223431-05:00,
8,179,CREATED,,DRAFT,APPLICANT,portal,2026-01-20 22:40:36.246833-05:00,2026-01-20 22:40:36.465833-05:00,
9,66,CREATED,,DRAFT,APPLICANT,portal,2026-01-23 07:26:17.226954-05:00,2026-01-23 07:26:17.332954-05:00,
10,37,CREATED,,DRAFT,APPLICANT,portal,2026-01-24 04:48:30.375522-05:00,2026-01-24 04:48:30.452522-05:00,
11,22,CREATED,,DRAFT,APPLICANT,portal,2026-01-27 17:12:50.822797-05:00,2026-01-27 17:12:50.884797-05:00,
12,444,CREATED,,DRAFT,APPLICANT,portal,2026-01-27 19:05:10.252299-05:00,2026-01-27 19:05:10.736299-05:00,
13,84,CREATED,,DRAFT,APPLICANT,portal,2026-01-27 21:20:04.819275-05:00,2026-01-27 21:20:04.943275-05:00,
14,410,CREATED,,DRAFT,APPLICANT,portal,2026-01-28 00:27:57.891563-05:00,2026-01-28 00:27:58.341563-05:00,
15,614,CREATED,,DRAFT,APPLICANT,portal,2026-01-28 04:01:48.546436-05:00,2026-01-28 04:01:49.200436-05:00,
16,144,CREATED,,DRAFT,APPLICANT,portal,2026-01-28 04:20:51.080433-05:00,2026-01-28 04:20:51.264433-05:00,
17,329,CREATED,,DRAFT,APPLICANT,portal,2026-01-28 05:18:57.925823-05:00,2026-01-28 05:18:58.294823-05:00,
18,8,CREATED,,DRAFT,APPLICANT,portal,2026-01-28 05:22:38.507180-05:00,2026-01-28 05:22:38.555180-05:00,
19,17,CREATED,,DRAFT,APPLICANT,portal,2026-01-28 07:00:17.488879-05:00,2026-01-28 07:00:17.545879-05:00,
20,29,CREATED,,DRAFT,APPLICANT,portal,2026-01-28 12:42:18.220041-05:00,2026-01-28 12:42:18.289041-05:00,
21,665,CREATED,,DRAFT,APPLICANT,portal,2026-01-28 16:20:10.064472-05:00,2026-01-28 16:20:10.769472-05:00,
22,47,CREATED,,DRAFT,APPLICANT,portal,2026-01-28 20:33:56.816373-05:00,2026-01-28 20:33:56.903373-05:00,
23,1131,CREATED,,DRAFT,APPLICANT,portal,2026-01-29 00:26:29.144540-05:00,2026-01-29 00:26:29.615540-05:00,
24,277,CREATED,,DRAFT,APPLICANT,portal,2026-01-29 01:40:17.692615-05:00,2026-01-29 01:40:18.009615-05:00,
25,192,CREATED,,DRAFT,APPLICANT,portal,2026-01-29 03:13:46.606461-05:00,2026-01-29 03:13:46.838461-05:00,
26,16,CREATED,,DRAFT,APPLICANT,portal,2026-01-29 04:00:57.965700-05:00,2026-01-29 04:00:58.021700-05:00,
27,207,CREATED,,DRAFT,APPLICANT,portal,2026-01-29 15:13:31.584411-05:00,2026-01-29 15:13:31.831411-05:00,
28,58,CREATED,,DRAFT,APPLICANT,portal,2026-01-29 20:35:54.809577-05:00,2026-01-29 20:35:54.907577-05:00,
29,150,CREATED,,DRAFT,APPLICANT,portal,2026-01-29 22:01:30.410656-05:00,2026-01-29 22:01:30.600656-05:00,
30,214,CREATED,,DRAFT,APPLICANT,portal,2026-01-29 22:31:52.220771-05:00,2026-01-29 22:31:52.474771-05:00,
31,140,CREATED,,DRAFT,APPLICANT,portal,2026-01-30 03:18:34.199045-05:00,2026-01-30 03:18:34.379045-05:00,
32,258,CREATED,,DRAFT,APPLICANT,portal,2026-01-30 04:15:27.566240-05:00,2026-01-30 04:15:27.864240-05:00,
33,25,CREATED,,DRAFT,APPLICANT,portal,2026-01-30 06:28:39.506186-05:00,2026-01-30 06:28:39.571186-05:00,
34,31,CREATED,,DRAFT,APPLICANT,portal,2026-01-30 06:34:18.913686-05:00,2026-01-30 06:34:18.984686-05:00,
35,106,CREATED,,DRAFT,APPLICANT,portal,2026-01-30 11:30:13.022019-05:00,2026-01-30 11:30:13.168019-05:00,
36,251,CREATED,,DRAFT,APPLICANT,portal,2026-01-30 15:14:08.749653-05:00,2026-01-30 15:14:09.040653-05:00,
37,238,CREATED,,DRAFT,APPLICANT,portal,2026-01-30 17:45:33.791257-05:00,2026-01-30 17:45:34.069257-05:00,
38,43,CREATED,,DRAFT,APPLICANT,portal,2026-01-30 17:48:15.813097-05:00,2026-01-30 17:48:15.896097-05:00,
39,187,CREATED,,DRAFT,APPLICANT,portal,2026-01-30 20:38:53.583081-05:00,2026-01-30 20:38:53.810081-05:00,
40,13,CREATED,,DRAFT,APPLICANT,portal,2026-01-30 21:17:32.604435-05:00,2026-01-30 21:17:32.657435-05:00,
