transaction_id,application_id,document_id,account_last4,posted_date,description,amount,running_balance,category,category_source,created_at
1,1,1,3836,2025-12-21,GUSTO PAYROLL 09443406,-41567.77,126941.10,,,2026-02-12 19:29:04.638454-05:00
2,1,1,3836,2025-12-22,GUSTO PAYROLL,-8908.54,118032.56,PAYROLL,OPTISCAN_RULES,2026-02-12 19:17:56.228153-05:00
3,1,1,3836,2025-12-23,CARD PAYMENT THANK YOU ****7399,-3059.85,114972.71,,,2026-02-12 19:18:41.427266-05:00
4,1,1,3836,2025-12-24,ADP PAYROLL FEES,-31235.09,83737.62,PAYROLL,OPTISCAN_RULES,2026-02-12 19:30:59.619622-05:00
5,1,1,3836,2025-12-25,WIRE IN REF 8841 ****8642,58886.06,142623.68,WIRE_IN,OPTISCAN_RULES,2026-02-12 19:20:45.717663-05:00
6,1,1,3836,2025-12-30,DUKE ENERGY BILLPAY,-37463.85,105159.83,,,2026-02-12 19:29:31.364213-05:00
7,1,1,3836,2026-01-01,REMOTE DEPOSIT CAPTURE,76830.57,181990.40,,,2026-02-12 19:36:10.472491-05:00
8,1,1,3836,2026-01-02,STRIPE PAYOUT,67326.26,249316.66,CARD_SETTLEMENT,OPTISCAN_RULES,2026-02-12 19:20:19.454253-05:00
9,1,1,3836,2026-01-03,VENDOR CHECK 1042,-11822.07,237494.59,SUPPLIER,AI_SERVICE,2026-02-12 19:22:01.392339-05:00
10,1,1,3836,2026-01-04,STRIPE PAYOUT 76760682,44538.26,282032.85,CARD_SETTLEMENT,MANUAL,2026-02-12 19:28:48.754640-05:00
11,1,1,3836,2026-01-05,REMOTE DEPOSIT CAPTURE,55442.13,337474.98,CHECK_DEPOSIT,OPTISCAN_RULES,2026-02-12 19:32:26.200458-05:00
12,1,1,3836,2026-01-06,VENDOR CHECK 1042 71921158,-35121.87,302353.11,,,2026-02-12 19:30:49.905467-05:00
13,1,1,3836,2026-01-07,DUKE ENERGY BILLPAY,-35654.28,266698.83,,,2026-02-12 19:31:32.391335-05:00
14,1,1,3836,2026-01-09,MERCHANT BANKCD DEP 64886514,68638.76,335337.59,CARD_SETTLEMENT,OPTISCAN_RULES,2026-02-12 19:33:19.643328-05:00
15,1,1,3836,2026-01-10,REMOTE DEPOSIT CAPTURE ****7678,68474.41,403812.00,CHECK_DEPOSIT,OPTISCAN_RULES,2026-02-12 19:29:58.425935-05:00
