decision_id,application_id,outcome,approved_amount,rate_apr,term_months,reason_codes,decided_by,policy_version,monthly_revenue_used,dscr,decided_at,created_at
1,2,COUNTER_OFFER,35000.00,27.558,60,"TIB_OK,CREDIT_OK,REVENUE_VERIFIED",p.deshmukh,credit-policy-2025,88718.48,2.947,2026-02-07 02:05:26.211919-05:00,2026-02-07 02:05:36.205944-05:00
2,3,COUNTER_OFFER,200000.00,26.078,48,"TIB_OK,COLLATERAL_OK,REVENUE_VERIFIED",t.rivas,credit-policy-2025,291560.48,0.734,2026-03-12 00:31:30.027933-05:00,2026-03-12 00:31:58.425396-05:00
3,4,APPROVED,76000.00,11.744,84,CREDIT_OK,m.okonkwo,credit-policy-2025,163910.55,2.395,2026-02-08 00:09:08.284193-05:00,2026-02-08 00:09:12.240460-05:00
4,5,APPROVED,590000.00,20.73,60,"REVENUE_VERIFIED,POLICY_EXCEPTION_APPROVED,DSCR_OK",renee.blackwell,credit-policy-2024,1381098.40,2.5,2026-02-17 21:41:04.272480-05:00,2026-02-17 21:41:29.822627-05:00
5,8,APPROVED,434000.00,23.113,36,"COLLATERAL_OK,POLICY_EXCEPTION_APPROVED,CREDIT_OK",c.obrien,credit-policy-2025,1068698.91,2.162,2026-02-09 16:45:32.475575-05:00,2026-02-09 16:45:42.270643-05:00
6,9,APPROVED,102000.00,12.604,12,"TIB_OK,POLICY_EXCEPTION_APPROVED",a.castellanos,credit-policy-2024,289787.55,2.406,2026-02-03 12:40:44.921505-05:00,2026-02-03 12:40:52.308348-05:00
7,10,APPROVED,43000.00,17.573,60,"TIB_OK,CREDIT_OK",j.beaumont,credit-policy-FINAL2,86512.19,3.16,2026-02-13 12:54:53.706869-05:00,2026-02-13 12:55:17.202352-05:00
8,11,DECLINED,,,,"DSCR_BELOW_MIN,CREDIT_SCORE,STACKED_DEBT",m.okonkwo,credit-policy-2025,421224.54,2.575,2026-02-05 09:49:32.591380-05:00,2026-02-05 09:49:34.829074-05:00
9,12,APPROVED,53000.00,27.274,12,"REVENUE_VERIFIED,MANUAL_OVERRIDE_RB,COLLATERAL_OK",k.abernathy,credit-policy-2024,133166.67,2.539,2026-02-19 16:02:25.503256-05:00,2026-02-19 16:02:49.023938-05:00
10,13,APPROVED,72000.00,10.666,12,"POLICY_EXCEPTION_APPROVED, TIB_OK, REVENUE_VERIFIED",t.rivas,credit-policy-2025,90856.06,2.039,2026-02-22 21:46:34.554264-05:00,2026-02-22 21:46:46.889463-05:00
11,15,DECLINED,,,,"STACKED_DEBT,INDUSTRY_RESTRICTED,CREDIT_SCORE,TIME_IN_BUSINESS",m.okonkwo,credit-policy-2025,67002.74,3.285,2026-02-06 21:04:44.452280-05:00,2026-02-06 21:05:08.346887-05:00
12,16,DECLINED,,,,DSCR_BELOW_MIN,m.okonkwo,credit-policy-2025,629817.89,2.177,2026-02-18 17:17:13.503420-05:00,2026-02-18 17:17:23.149027-05:00
13,17,DECLINED,,,,"UNVERIFIED_REVENUE,EXISTING_DEBT,TIME_IN_BUSINESS",p.deshmukh,credit-policy-FINAL2,138320.00,2.479,2026-03-24 07:36:09.724547-05:00,2026-03-24 07:36:32.147234-05:00
14,18,APPROVED,510000.00,9.375,24,DSCR_OK,p.deshmukh,credit-policy-2025,617641.78,2.011,2026-02-03 19:10:02.992883-05:00,2026-02-03 19:10:25.606644-05:00
15,19,APPROVED,445000.00,10.265,60,"MANUAL_OVERRIDE_RB,REVENUE_VERIFIED",s.whitfield,credit-policy-2025,1538073.32,0.901,2026-02-09 16:20:45.355898-05:00,2026-02-09 16:20:47.693230-05:00
16,20,DECLINED,,,,"NSF_ACTIVITY,REVENUE_BELOW_MIN,EXISTING_DEBT",m.okonkwo,credit-policy-2025,102303.56,1.022,2026-02-14 11:54:52.869460-05:00,2026-02-14 11:54:55.876304-05:00
17,21,APPROVED,57800.00,16.078,84,"COLLATERAL_OK, REVENUE_VERIFIED",c.obrien,credit-policy-2025,88618.57,1.511,2026-02-13 23:22:07.349290-05:00,2026-02-13 23:22:10.537126-05:00
18,22,DECLINED,,,,"STACKED_DEBT,TIME_IN_BUSINESS,UNVERIFIED_REVENUE,NSF_ACTIVITY",s.whitfield,credit-policy-2025,226295.36,3.064,2026-02-18 16:24:57.506181-05:00,2026-02-18 16:25:21.449990-05:00
19,23,DECLINED,,,,"REVENUE_BELOW_MIN,UNVERIFIED_REVENUE",p.deshmukh,credit-policy-2025,759318.75,1.214,2026-02-19 01:48:16.580084-05:00,2026-02-19 01:48:42.175475-05:00
20,24,DECLINED,,,,"NSF_ACTIVITY,INDUSTRY_RESTRICTED,STACKED_DEBT,UNVERIFIED_REVENUE",k.abernathy,credit-policy-2025,172681.47,3.144,2026-02-06 20:40:15.186219-05:00,2026-02-06 20:40:23.676039-05:00
21,25,APPROVED,165000.00,10.733,12,CREDIT_OK,p.deshmukh,credit-policy-2025,215734.72,1.133,2026-02-11 17:23:16.824290-05:00,2026-02-11 17:23:27.760112-05:00
22,26,DECLINED,,,,,p.deshmukh,credit-policy-FINAL2,766994.26,1.098,2026-02-11 06:14:20.520030-05:00,2026-02-11 06:14:38.779867-05:00
23,27,DECLINED,,,,"NSF_ACTIVITY,EXISTING_DEBT",k.abernathy,credit-policy-2024,318439.01,2.615,2026-03-04 23:05:32.725751-05:00,2026-03-04 23:05:38.923277-05:00
24,28,DECLINED,,,,"REVENUE_BELOW_MIN,STACKED_DEBT,",a.castellanos,credit-policy-2025,1123970.06,2.315,2026-03-05 20:47:23.393216-05:00,2026-03-05 20:47:51.127861-05:00
25,29,APPROVED,101500.00,8.546,48,"MANUAL_OVERRIDE_RB,POLICY_EXCEPTION_APPROVED,REVENUE_VERIFIED",m.okonkwo,credit-policy-FINAL2,284309.05,3.363,2026-02-11 07:14:11.888613-05:00,2026-02-11 07:14:20.285698-05:00
26,30,COUNTER_OFFER,125000.00,9.478,60,REVENUE_VERIFIED,t.rivas,credit-policy-2025,118914.92,1.426,2026-02-05 19:42:27.417887-05:00,2026-02-05 19:42:38.876444-05:00
27,31,APPROVED,64600.00,21.043,48,,renee.blackwell,credit-policy-2025,46941.75,1.529,2026-03-04 19:13:37.403176-05:00,2026-03-04 19:13:52.205743-05:00
28,32,APPROVED,374500.00,20.616,12,"TIB_OK,MANUAL_OVERRIDE_RB,REVENUE_VERIFIED",m.okonkwo,credit-policy-2024,838905.09,1.191,2026-02-05 21:45:22.275454-05:00,2026-02-05 21:45:29.308294-05:00
29,33,APPROVED,216750.00,23.138,24,"DSCR_OK,CREDIT_OK,REVENUE_VERIFIED",m.okonkwo,credit-policy-2025,189391.95,3.087,2026-02-15 08:22:12.576303-05:00,2026-02-15 08:22:29.702806-05:00
30,35,DECLINED,,,,UNVERIFIED_REVENUE,k.abernathy,credit-policy-2025,97959.88,3.14,2026-02-26 13:17:59.713570-05:00,2026-02-26 13:18:22.295423-05:00
31,38,APPROVED,44500.00,8.021,48,"COLLATERAL_OK,TIB_OK,POLICY_EXCEPTION_APPROVED",a.castellanos,credit-policy-2025,90932.96,3.06,2026-02-07 08:02:12.789964-05:00,2026-02-07 08:02:14.542428-05:00
32,39,APPROVED,28000.00,9.914,12,"REVENUE_VERIFIED,",t.rivas,credit-policy-2025,95137.34,2.652,2026-02-06 11:52:45.977518-05:00,2026-02-06 11:53:00.202151-05:00
33,40,APPROVED,455000.00,20.641,60,REVENUE_VERIFIED,m.okonkwo,credit-policy-2025,5095167.58,1.824,2026-02-05 16:48:48.859609-05:00,2026-02-05 16:49:17.801799-05:00
34,41,DECLINED,,,,"DSCR_BELOW_MIN,UNVERIFIED_REVENUE,INDUSTRY_RESTRICTED",l.nakamura,credit-policy-2025,542800.44,1.496,2026-02-23 23:47:28.428860-05:00,2026-02-23 23:47:35.907297-05:00
35,42,APPROVED,175000.00,16.95,60,"DSCR_OK, MANUAL_OVERRIDE_RB",m.okonkwo,credit-policy-2025,449377.62,1.197,2026-02-09 23:50:21.839379-05:00,2026-02-09 23:50:31.334264-05:00
36,43,DECLINED,,,,"INDUSTRY_RESTRICTED, EXISTING_DEBT",s.whitfield,credit-policy-2025,83820.31,3.221,2026-02-08 16:04:59.480801-05:00,2026-02-08 16:05:01.829864-05:00
37,45,APPROVED,142500.00,17.032,36,"REVENUE_VERIFIED, MANUAL_OVERRIDE_RB",a.castellanos,credit-policy-2025,307390.02,2.218,2026-02-10 10:35:58.083694-05:00,2026-02-10 10:36:14.164217-05:00
38,47,COUNTER_OFFER,362500.00,21.97,36,"CREDIT_OK,COLLATERAL_OK,",a.castellanos,credit-policy-2025,892880.04,2.668,2026-02-10 18:17:58.508772-05:00,2026-02-10 18:18:03.966236-05:00
39,48,APPROVED,208250.00,20.716,84,"DSCR_OK,COLLATERAL_OK,POLICY_EXCEPTION_APPROVED",j.beaumont,credit-policy-FINAL2,232562.16,3.279,2026-02-20 09:52:40.519731-05:00,2026-02-20 09:53:05.730661-05:00
40,49,APPROVED,175000.00,11.418,24,POLICY_EXCEPTION_APPROVED,l.nakamura,credit-policy-2025,341558.42,2.543,2026-02-08 00:55:22.377675-05:00,2026-02-08 00:55:31.707931-05:00
41,50,APPROVED,185000.00,19.492,48,"COLLATERAL_OK,CREDIT_OK,DSCR_OK",s.whitfield,credit-policy-2025,249374.85,0.703,2026-02-13 18:52:09.668696-05:00,2026-02-13 18:52:11.531812-05:00
42,51,DECLINED,,,,CREDIT_SCORE,renee.blackwell,credit-policy-2025,294313.91,2.221,2026-02-05 10:44:41.973289-05:00,2026-02-05 10:45:11.185255-05:00
43,52,APPROVED,60000.00,28.842,84,"MANUAL_OVERRIDE_RB,COLLATERAL_OK",p.deshmukh,credit-policy-2024,131225.70,3.193,2026-02-08 22:21:41.886208-05:00,2026-02-08 22:22:06.894618-05:00
44,53,APPROVED,46200.00,26.931,12,REVENUE_VERIFIED,t.rivas,credit-policy-2025,116184.77,1.532,2026-02-17 09:27:43.384846-05:00,2026-02-17 09:28:06.293188-05:00
45,54,APPROVED,46000.00,22.571,84,"CREDIT_OK,POLICY_EXCEPTION_APPROVED",m.okonkwo,credit-policy-2025,100373.10,3.215,2026-02-05 00:54:37.534828-05:00,2026-02-05 00:55:03.302306-05:00
46,55,APPROVED,2015000.00,14.457,24,POLICY_EXCEPTION_APPROVED,c.obrien,credit-policy-FINAL2,1922188.94,1.992,2026-02-17 13:35:08.308703-05:00,2026-02-17 13:35:25.929062-05:00
47,56,DECLINED,,,,"NSF_ACTIVITY,INDUSTRY_RESTRICTED,DSCR_BELOW_MIN",l.nakamura,credit-policy-2025,355334.80,2.048,2026-02-05 22:04:36.456903-05:00,2026-02-05 22:04:54.421584-05:00
48,57,APPROVED,63700.00,20.063,60,"POLICY_EXCEPTION_APPROVED, TIB_OK, REVENUE_VERIFIED",t.rivas,credit-policy-2025,73590.25,0.892,2026-02-14 20:47:54.371573-05:00,2026-02-14 20:48:22.668919-05:00
49,58,APPROVED,347500.00,18.554,48,COLLATERAL_OK,t.rivas,credit-policy-FINAL2,837456.64,2.518,2026-02-22 07:56:56.070263-05:00,2026-02-22 07:57:24.848476-05:00
50,59,APPROVED,77500.00,12.2,12,,renee.blackwell,credit-policy-2024,109008.23,0.733,2026-02-11 22:48:53.762198-05:00,2026-02-11 22:49:23.015433-05:00
51,60,APPROVED,129500.00,8.728,60,"COLLATERAL_OK,MANUAL_OVERRIDE_RB",j.beaumont,credit-policy-FINAL2,230329.67,2.927,2026-02-04 15:24:54.389472-05:00,2026-02-04 15:25:13.805047-05:00
52,61,APPROVED,60000.00,27.197,36,"DSCR_OK, CREDIT_OK, TIB_OK",a.castellanos,credit-policy-2024,212083.07,0.865,2026-02-09 17:47:29.088347-05:00,2026-02-09 17:47:34.532056-05:00
53,63,DECLINED,,,,"TIME_IN_BUSINESS, NSF_ACTIVITY,",s.whitfield,credit-policy-2024,57777.50,0.863,2026-02-16 16:21:33.238328-05:00,2026-02-16 16:21:36.842663-05:00
54,65,COUNTER_OFFER,51850.00,16.511,84,"TIB_OK,COLLATERAL_OK,CREDIT_OK",t.rivas,credit-policy-2025,177864.65,2.611,2026-02-25 16:40:55.931421-05:00,2026-02-25 16:41:23.189817-05:00
55,66,DECLINED,,,,"REVENUE_BELOW_MIN,DSCR_BELOW_MIN,CREDIT_SCORE,UNVERIFIED_REVENUE",m.okonkwo,credit-policy-2025,170890.48,3.203,2026-02-09 02:54:02.128658-05:00,2026-02-09 02:54:10.217428-05:00
56,67,COUNTER_OFFER,18000.00,26.119,24,"DSCR_OK,POLICY_EXCEPTION_APPROVED",c.obrien,credit-policy-FINAL2,63386.54,2.268,2026-02-22 15:19:32.225369-05:00,2026-02-22 15:19:44.997488-05:00
57,68,APPROVED,890000.00,22.09,60,"COLLATERAL_OK,DSCR_OK,REVENUE_VERIFIED",j.beaumont,credit-policy-2025,1269349.85,2.818,2026-02-17 10:03:29.616167-05:00,2026-02-17 10:03:35.998184-05:00
58,69,DECLINED,,,,"COLLATERAL_SHORTFALL, UNVERIFIED_REVENUE, REVENUE_BELOW_MIN, STACKED_DEBT",s.whitfield,credit-policy-2025,152986.22,2.294,2026-02-17 14:59:00.418755-05:00,2026-02-17 14:59:09.259169-05:00
59,70,DECLINED,,,,"REVENUE_BELOW_MIN,UNVERIFIED_REVENUE,TIME_IN_BUSINESS,STACKED_DEBT",a.castellanos,credit-policy-2025,626784.06,3.393,2026-02-19 03:59:30.062958-05:00,2026-02-19 03:59:56.910280-05:00
60,72,APPROVED,102500.00,25.179,84,TIB_OK,j.beaumont,credit-policy-2025,183139.99,2.876,2026-02-18 06:34:36.807413-05:00,2026-02-18 06:34:39.462426-05:00
61,73,APPROVED,21250.00,22.615,60,"REVENUE_VERIFIED,CREDIT_OK,TIB_OK",renee.blackwell,credit-policy-2025,44984.03,1.33,2026-02-17 21:56:38.725175-05:00,2026-02-17 21:56:54.661711-05:00
62,74,APPROVED,97500.00,19.864,24,"TIB_OK, CREDIT_OK",s.whitfield,credit-policy-2025,363078.31,2.624,2026-02-15 02:47:50.710172-05:00,2026-02-15 02:47:57.708659-05:00
63,75,APPROVED,182750.00,17.488,84,"CREDIT_OK, COLLATERAL_OK",t.rivas,credit-policy-2025,317392.18,1.83,2026-02-15 08:32:38.449736-05:00,2026-02-15 08:32:55.484357-05:00
64,76,APPROVED,607750.00,17.582,12,COLLATERAL_OK,m.okonkwo,credit-policy-2024,200108.98,2.113,2026-02-11 15:42:48.788959-05:00,2026-02-11 15:43:17.223629-05:00
65,77,DECLINED,,,,DSCR_BELOW_MIN,j.beaumont,credit-policy-2025,129549.01,1.753,2026-02-11 04:12:20.519721-05:00,2026-02-11 04:12:45.018874-05:00
66,78,DECLINED,,,,,d.pham,credit-policy-2024,640402.34,2.522,2026-02-10 14:05:55.055388-05:00,2026-02-10 14:06:23.579532-05:00
67,79,APPROVED,600000.00,28.578,84,"REVENUE_VERIFIED,COLLATERAL_OK",renee.blackwell,credit-policy-2025,1601015.71,2.801,2026-03-12 07:41:42.450508-05:00,2026-03-12 07:41:45.340058-05:00
68,80,APPROVED,238000.00,8.193,60,"TIB_OK,REVENUE_VERIFIED,MANUAL_OVERRIDE_RB",p.deshmukh,credit-policy-2024,300577.98,1.6,2026-02-12 15:36:42.758622-05:00,2026-02-12 15:37:04.044012-05:00
69,81,COUNTER_OFFER,670000.00,14.528,12,"POLICY_EXCEPTION_APPROVED,REVENUE_VERIFIED,MANUAL_OVERRIDE_RB",k.abernathy,credit-policy-2025,863386.38,2.939,2026-02-15 16:44:18.294059-05:00,2026-02-15 16:44:44.235876-05:00
70,82,APPROVED,41300.00,28.595,48,"COLLATERAL_OK,CREDIT_OK,MANUAL_OVERRIDE_RB,",k.abernathy,credit-policy-2025,46188.63,1.308,2026-02-24 04:41:20.460684-05:00,2026-02-24 04:41:31.137259-05:00
71,83,APPROVED,225000.00,12.68,48,"POLICY_EXCEPTION_APPROVED,CREDIT_OK,COLLATERAL_OK",j.beaumont,credit-policy-2025,424032.02,1.597,2026-02-13 08:45:13.867863-05:00,2026-02-13 08:45:22.488005-05:00
72,84,DECLINED,,,,"INDUSTRY_RESTRICTED, TIME_IN_BUSINESS, EXISTING_DEBT, REVENUE_BELOW_MIN",a.castellanos,credit-policy-FINAL2,2474215.44,2.674,2026-02-17 10:02:11.457168-05:00,2026-02-17 10:02:25.536358-05:00
