extraction_id,document_id,extractor,extractor_version,field_name,field_value,confidence,is_correct,raw_response,extracted_at
1,1,OPTISCAN_V2,2.14.3,business_name,Huntersville Catering Solutions Inc,0.9678,,"{""field"":""business_name"",""value"":""Huntersville Catering Solutions Inc"",""confidence"":0.9678,""engine"":""optiscan_v2"",""page"":1,""bbox"":[317,448,217,456]}",2026-02-12 19:24:47.698079-05:00
2,1,OPTISCAN_V2,2.14.3,ein,941847351,0.9469,,"{""field"":""ein"",""value"":""941847351"",""confidence"":0.9469,""engine"":""optiscan_v2"",""page"":2,""bbox"":[26,443,348,289]}",2026-02-12 19:27:54.068502-05:00
3,1,OPTISCAN_V2,2.14.3,account_number,****1265,0.9591,,"{""field"":""account_number"",""value"":""****1265"",""confidence"":0.9591,""engine"":""optiscan_v2"",""page"":2,""bbox"":[35,271,308,116]}",2026-02-12 19:17:39.113218-05:00
4,1,OPTISCAN_V2,2.14.3,statement_period_start,2025-12-01,0.9438,,"{""field"":""statement_period_start"",""value"":""2025-12-01"",""confidence"":0.9438,""engine"":""optiscan_v2"",""page"":1,""bbox"":[189,394,78,700]}",2026-02-12 19:21:31.924517-05:00
5,1,OPTISCAN_V2,2.14.3,statement_period_end,2026-01-28,0.9929,,"{""field"":""statement_period_end"",""value"":""2026-01-28"",""confidence"":0.9929,""engine"":""optiscan_v2"",""page"":5,""bbox"":[199,601,421,203]}",2026-02-12 19:29:20.934584-05:00
6,1,OPTISCAN_V2,2.14.3,ending_balance,14015.69,0.9999,,"{""field"":""ending_balance"",""value"":""14015.69"",""confidence"":0.9999,""engine"":""optiscan_v2"",""page"":6,""bbox"":[352,555,310,656]}",2026-02-12 19:18:41.745632-05:00
7,1,OPTISCAN_V2,2.14.3,total_deposits,164245.58,0.9999,,"{""field"":""total_deposits"",""value"":""164245.58"",""confidence"":0.9999,""engine"":""optiscan_v2"",""page"":5,""bbox"":[186,422,335,233]}",2026-02-12 19:24:33.929148-05:00
8,1,OPTISCAN_V2,2.14.3,total_withdrawals,43398.93,0.9306,true,"{""field"":""total_withdrawals"",""value"":""43398.93"",""confidence"":0.9306,""engine"":""optiscan_v2"",""page"":5,""bbox"":[390,692,336,537]}",2026-02-12 19:29:57.196524-05:00
9,1,OPTISCAN_V2,2.14.3,nsf_count,3,0.9502,,"{""field"":""nsf_count"",""value"":""3"",""confidence"":0.9502,""engine"":""optiscan_v2"",""page"":6,""bbox"":[79,115,297,169]}",2026-02-12 19:20:18.944903-05:00
10,3,OPTISCAN_V2,2.14.3,business_name,Huntersville Catering Solutions Inc,0.9532,,"{""field"":""business_name"",""value"":""Huntersville Catering Solutions Inc"",""confidence"":0.9532,""engine"":""optiscan_v2"",""page"":3,""bbox"":[76,62,325,464]}",2026-02-10 07:54:14.707396-05:00
11,3,OPTISCAN_V2,2.14.3,ein,941847351,0.9816,true,"{""field"":""ein"",""value"":""941847351"",""confidence"":0.9816,""engine"":""optiscan_v2"",""page"":4,""bbox"":[152,623,402,420]}",2026-02-10 07:53:21.738285-05:00
12,3,OPTISCAN_V2,2.14.3,account_number,****7043,0.9574,true,"{""field"":""account_number"",""value"":""****7043"",""confidence"":0.9574,""engine"":""optiscan_v2"",""page"":1,""bbox"":[49,443,131,250]}",2026-02-10 07:45:48.850803-05:00
