signal_id,application_id,vendor,score,band,reason_codes,raw_response,vendor_latency_ms,received_at
1,1,SENTINEL,246,LOW,"IP_PROXY,VELOCITY_APPLICANT,SYNTHETIC_ID_PATTERN","{""requestId"":""sen-9e3779b1"",""score"":246,""band"":""LOW"",""reasonCodes"":[""IP_PROXY"",""VELOCITY_APPLICANT"",""SYNTHETIC_ID_PATTERN""],""modelVersion"":""sr-4.1""}",2054,2026-02-02 10:07:47.632969-05:00
2,3,SENTINEL,125,LOW,"IDENTITY_MISMATCH,PHONE_CARRIER_RISK,EMAIL_AGE_LOW","{""requestId"":""sen-daa66d14"",""score"":125,""band"":""LOW"",""reasonCodes"":[""IDENTITY_MISMATCH"",""PHONE_CARRIER_RISK"",""EMAIL_AGE_LOW""],""modelVersion"":""sr-4.1""}",520,2026-02-02 08:37:35.531019-05:00
3,5,SENTINEL,516,MEDIUM,"DEVICE_REPUTATION,IDENTITY_MISMATCH","{""requestId"":""sen-17156078"",""score"":516,""band"":""MEDIUM"",""reasonCodes"":[""DEVICE_REPUTATION"",""IDENTITY_MISMATCH""],""modelVersion"":""sr-4.1""}",1784,2026-02-02 10:09:37.154608-05:00
4,6,SENTINEL,438,MEDIUM,"IP_PROXY,BANK_ACCOUNT_AGE","{""requestId"":""sen-b54cda29"",""score"":438,""band"":""MEDIUM"",""reasonCodes"":[""IP_PROXY"",""BANK_ACCOUNT_AGE""],""modelVersion"":""sr-4.2""}",888,2026-02-02 11:58:23.568212-05:00
5,7,SENTINEL,26,LOW,,"{""requestId"":""sen-538453db"",""score"":26,""band"":""LOW"",""reasonCodes"":null,""modelVersion"":""sr-4.2""}",1170,2026-02-02 13:06:39.367584-05:00
6,8,SENTINEL,220,LOW,"IP_PROXY,IDENTITY_MISMATCH,EMAIL_AGE_LOW","{""requestId"":""sen-f1bbcd8c"",""score"":220,""band"":""LOW"",""reasonCodes"":[""IP_PROXY"",""IDENTITY_MISMATCH"",""EMAIL_AGE_LOW""],""modelVersion"":""sr-4.2""}",7014,2026-02-02 14:01:03.622519-05:00
7,9,SENTINEL,269,LOW,DEVICE_REPUTATION,"{""requestId"":""sen-8ff3473e"",""score"":269,""band"":""LOW"",""reasonCodes"":[""DEVICE_REPUTATION""],""modelVersion"":""sr-4.2""}",1164,2026-02-02 12:12:09.919051-05:00
8,11,SENTINEL,395,MEDIUM,IP_PROXY,"{""requestId"":""sen-cc623aa1"",""score"":395,""band"":""MEDIUM"",""reasonCodes"":[""IP_PROXY""],""modelVersion"":""sr-4.2""}",135,2026-02-02 12:55:01.009665-05:00
9,14,SENTINEL,585,MEDIUM,"SYNTHETIC_ID_PATTERN,VELOCITY_APPLICANT,EMAIL_AGE_LOW","{""requestId"":""sen-a708a7b6"",""score"":585,""band"":""MEDIUM"",""reasonCodes"":[""SYNTHETIC_ID_PATTERN"",""VELOCITY_APPLICANT"",""EMAIL_AGE_LOW""],""modelVersion"":""sr-4.2""}",641,2026-02-02 13:59:51.846727-05:00
10,15,SENTINEL,106,LOW,"VELOCITY_APPLICANT,IDENTITY_MISMATCH,IP_PROXY,BANK_ACCOUNT_AGE","{""requestId"":""sen-45402168"",""score"":106,""band"":""LOW"",""reasonCodes"":[""VELOCITY_APPLICANT"",""IDENTITY_MISMATCH"",""IP_PROXY"",""BANK_ACCOUNT_AGE""],""modelVersion"":""sr-4.2""}",364,2026-02-02 14:53:53.368741-05:00
11,16,SENTINEL,299,LOW,PHONE_CARRIER_RISK,"{""requestId"":""sen-e3779b19"",""score"":299,""band"":""LOW"",""reasonCodes"":[""PHONE_CARRIER_RISK""],""modelVersion"":""sr-4.1""}",1319,2026-02-02 12:44:46.651949-05:00
12,18,SENTINEL,210,LOW,EMAIL_AGE_LOW,"{""requestId"":""sen-1fe68e7d"",""score"":210,""band"":""LOW"",""reasonCodes"":[""EMAIL_AGE_LOW""],""modelVersion"":""sr-4.2""}",279,2026-02-02 14:47:25.808450-05:00
13,19,SENTINEL,421,MEDIUM,,"{""requestId"":""sen-be1e082e"",""score"":421,""band"":""MEDIUM"",""reasonCodes"":null,""modelVersion"":""sr-4.2""}",820,2026-02-02 14:02:31.784718-05:00
14,20,SENTINEL,569,MEDIUM,"PHONE_CARRIER_RISK,IP_PROXY,BANK_ACCOUNT_AGE,VELOCITY_APPLICANT","{""requestId"":""sen-5c5581e0"",""score"":569,""band"":""MEDIUM"",""reasonCodes"":[""PHONE_CARRIER_RISK"",""IP_PROXY"",""BANK_ACCOUNT_AGE"",""VELOCITY_APPLICANT""],""modelVersion"":""sr-4.2""}",612,2026-02-02 11:53:54.305418-05:00
